Date,True,MA_filtered,EMA_filtered,bilateral_filtered
2000-02-23,1356.3524780273438,399663.1130371094,1392.1846594879908,1414.230276839739
2000-02-24,1352.2000122070312,399863.2980957031,1391.3928842943083,1414.622507014232
2000-02-25,1344.52001953125,400046.38064575195,1390.4647087544456,1415.0390895149783
2000-02-28,1341.8249816894531,400217.2331542969,1389.5015458422674,1415.4940131727337
2000-02-29,1358.0375366210938,400391.47817993164,1388.8784961547194,1416.0125982583224
2000-03-01,1373.8724975585938,400567.905670166,1388.5813476676674,1416.519166668255
2000-03-02,1379.4649963378906,400745.283203125,1388.4008258591568,1416.9661028112066
2000-03-03,1395.8925170898438,400924.7832336426,1388.5491761805565,1417.480400569119
2000-03-06,1398.7350158691406,401096.173248291,1388.75087597637,1417.9401001226468
2000-03-07,1374.0249938964844,401244.08572387695,1388.459274351026,1418.2780360706683
2000-03-08,1360.6824951171875,401372.283203125,1387.9092391186725,1418.6526595590701
2000-03-09,1382.0224609375,401516.8381347656,1387.792669253699,1419.1285084331014
2000-03-10,1400.5724487304688,401686.58557128906,1388.045734193833,1419.5705409680463
2000-03-13,1385.47998046875,401840.7555541992,1387.9949271893759,1419.8889429305239
2000-03-14,1374.2675170898438,401978.250579834,1387.7230972864147,1420.2581207855767
2000-03-15,1376.5675048828125,402096.2180786133,1387.5021944665414,1420.6734914333094
2000-03-16,1425.3099975585938,402253.5055847168,1388.2508638347008,1421.2014316632803
2000-03-17,1463.3974609375,402445.6830749512,1389.738915262479,1421.7084181346356
2000-03-20,1459.9725036621094,402638.52310180664,1391.1296793892043,1422.0952863619684
2000-03-21,1472.6200256347656,402859.6106262207,1392.7433496118886,1422.5155979537155
2000-03-22,1496.72998046875,403124.56060791016,1394.8024908169748,1422.9601629928893
2000-03-23,1513.2200012207031,403414.5455932617,1397.1473920130882,1423.3452994192176
2000-03-24,1531.127471923828,403717.9480895996,1399.8004629024097,1423.7171675217758
2000-03-27,1526.1024780273438,403998.1905517578,1402.3014929048836,1424.0220711898526
2000-03-28,1516.5099792480469,404256.1430358887,1404.5630470898966,1424.3070331836993
2000-03-29,1508.7874755859375,404519.70303344727,1406.626897159125,1424.6104627025813
2000-03-30,1497.1125183105469,404788.1330566406,1408.418691637371,1424.8970548551952
2000-03-31,1497.6725158691406,405057.65310668945,1410.186094097406,1425.2261220651699
2000-04-03,1499.6749572753906,405313.94805908203,1411.958150794,1425.5824053276679
2000-04-04,1485.8924865722656,405549.6130371094,1413.4221970470348,1425.9201842118687
2000-04-05,1491.6750183105469,405786.76052856445,1414.9717578641341,1426.3379002920467
2000-04-06,1496.959991455078,406013.5805053711,1416.5952872421726,1426.7300761784572
2000-04-07,1509.427490234375,406246.0829772949,1418.4335486875627,1427.1098435871083
